"Tabela 9543 - Taxa de alfabetização das pessoas de 15 anos ou mais de idade por sexo, cor ou raça e grupos de idade"
"Variável - Taxa de alfabetização das pessoas de 15 anos ou mais de idade (%)"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Ano x Sexo x Cor ou raça"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"2022"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Total";;;;;;"Homens";;;;;;"Mulheres"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena"
"12";"Acre";"45 a 54 anos";"82,04";"87,29";"76,57";"77,55";"82,02";"58,29";"80,08";"85,19";"75,35";"72,37";"79,80";"70,15";"83,97";"89,17";"78,14";"80,83";"84,19";"46,31"
"12";"Acre";"55 a 64 anos";"73,57";"80,72";"65,82";"78,32";"73,19";"46,66";"71,94";"79,40";"64,74";"80,30";"71,43";"53,43";"75,14";"81,92";"67,18";"76,62";"74,83";"38,92"
"12";"Acre";"65 anos ou mais";"58,93";"68,18";"47,69";"79,71";"58,36";"24,93";"57,11";"66,58";"46,61";"82,81";"56,19";"33,26";"60,66";"69,61";"48,87";"77,03";"60,41";"18,13"
"13";"Amazonas";"Total";"93,06";"95,06";"90,07";"96,94";"93,75";"82,56";"92,69";"94,64";"89,82";"97,61";"93,26";"84,60";"93,41";"95,42";"90,42";"96,33";"94,24";"80,45"
"13";"Amazonas";"15 a 19 anos";"97,67";"98,24";"97,92";"99,12";"98,12";"93,01";"97,15";"97,68";"97,37";"99,48";"97,56";"92,94";"98,21";"98,76";"98,66";"98,85";"98,71";"93,08"
"13";"Amazonas";"20 a 24 anos";"97,70";"98,24";"97,75";"98,46";"98,13";"92,63";"97,30";"97,96";"97,29";"98,45";"97,63";"92,91";"98,11";"98,52";"98,41";"98,48";"98,63";"92,35"
"13";"Amazonas";"25 a 34 anos";"97,23";"98,01";"97,08";"99,06";"97,69";"90,55";"96,73";"97,63";"96,63";"99,29";"97,06";"91,20";"97,72";"98,36";"97,72";"98,88";"98,29";"89,90"
"13";"Amazonas";"35 a 44 anos";"95,06";"96,68";"93,61";"98,92";"95,64";"83,95";"94,48";"96,00";"92,84";"98,76";"94,94";"86,46";"95,63";"97,27";"94,73";"99,06";"96,33";"81,35"
"13";"Amazonas";"45 a 54 anos";"91,27";"94,20";"88,38";"97,19";"92,03";"73,95";"90,50";"93,26";"87,63";"98,59";"91,13";"77,76";"92,03";"94,98";"89,53";"95,91";"92,91";"69,80"
"13";"Amazonas";"55 a 64 anos";"85,64";"90,80";"80,06";"94,58";"86,48";"62,89";"85,37";"90,09";"80,50";"95,67";"86,02";"68,51";"85,89";"91,42";"79,43";"93,31";"86,92";"57,04"
"13";"Amazonas";"65 anos ou mais";"74,28";"82,78";"65,59";"90,23";"75,15";"43,17";"74,38";"82,35";"65,94";"93,15";"75,23";"50,09";"74,19";"83,11";"65,18";"87,01";"75,08";"36,46"
"14";"Roraima";"Total";"93,08";"96,33";"91,76";"95,16";"95,08";"77,75";"92,45";"95,64";"90,61";"94,12";"94,25";"79,21";"93,70";"96,97";"93,32";"96,01";"95,89";"76,31"
"14";"Roraima";"15 a 19 anos";"95,37";"98,87";"98,67";"98,59";"98,77";"79,13";"95,18";"98,51";"98,46";"97,06";"98,37";"79,73";"95,58";"99,21";"98,93";"100,00";"99,19";"78,52"
"14";"Roraima";"20 a 24 anos";"96,34";"98,81";"98,53";"94,59";"98,78";"81,30";"95,96";"98,25";"98,18";"90,63";"98,27";"81,63";"96,72";"99,34";"98,97";"97,62";"99,29";"80,97"
"14";"Roraima";"25 a 34 anos";"97,08";"98,92";"98,35";"98,67";"98,77";"83,78";"96,82";"98,66";"98,02";"98,53";"98,34";"84,58";"97,33";"99,17";"98,79";"98,78";"99,19";"82,99"
"14";"Roraima";"35 a 44 anos";"95,83";"98,08";"95,76";"97,62";"97,36";"80,97";"95,08";"97,44";"94,26";"96,36";"96,42";"82,72";"96,57";"98,64";"97,78";"98,59";"98,27";"79,19"
"14";"Roraima";"45 a 54 anos";"92,37";"96,01";"90,45";"98,81";"93,89";"76,23";"91,12";"94,72";"89,11";"96,67";"92,36";"78,00";"93,61";"97,16";"92,37";"100,00";"95,38";"74,49"
"14";"Roraima";"55 a 64 anos";"86,32";"92,40";"81,76";"89,55";"87,38";"68,42";"84,85";"91,25";"78,66";"91,18";"85,73";"70,29";"87,81";"93,52";"85,97";"87,88";"88,99";"66,59"
"14";"Roraima";"65 anos ou mais";"72,22";"83,30";"61,65";"80,88";"73,86";"47,53";"72,43";"82,73";"61,00";"83,33";"73,76";"53,91";"72,00";"83,85";"62,58";"78,13";"73,97";"41,73"
"15";"Pará";"Total";"91,24";"93,43";"88,34";"95,51";"91,17";"83,30";"89,99";"92,64";"87,05";"94,87";"89,84";"86,03";"92,47";"94,14";"89,90";"96,00";"92,47";"80,56"
"15";"Pará";"15 a 19 anos";"97,67";"98,11";"97,51";"98,64";"97,65";"92,19";"96,94";"97,56";"96,76";"98,41";"96,86";"93,42";"98,42";"98,62";"98,39";"98,81";"98,48";"90,93"
