"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"2022"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"1";"Norte";"Indígena";"65 anos ou mais";"23713";"11513";"12200";"10382";"5768";"4614";"13331";"5745";"7586"
"2";"Nordeste";"Total";"Total";"43108045";"20527920";"22580125";"36984056";"17233784";"19750272";"6123989";"3294136";"2829853"
"2";"Nordeste";"Total";"15 a 19 anos";"4244151";"2158973";"2085178";"4142140";"2086491";"2055649";"102011";"72482";"29529"
"2";"Nordeste";"Total";"20 a 24 anos";"4324396";"2154129";"2170267";"4210931";"2075314";"2135617";"113465";"78815";"34650"
"2";"Nordeste";"Total";"25 a 34 anos";"8278228";"3984824";"4293404";"7951797";"3764047";"4187750";"326431";"220777";"105654"
"2";"Nordeste";"Total";"35 a 44 anos";"8635152";"4133468";"4501684";"7818942";"3629928";"4189014";"816210";"503540";"312670"
"2";"Nordeste";"Total";"45 a 54 anos";"6799001";"3230714";"3568287";"5573113";"2524660";"3048453";"1225888";"706054";"519834"
"2";"Nordeste";"Total";"55 a 64 anos";"5296087";"2451853";"2844234";"3937118";"1740327";"2196791";"1358969";"711526";"647443"
"2";"Nordeste";"Total";"65 anos ou mais";"5531030";"2413959";"3117071";"3350015";"1413017";"1936998";"2181015";"1000942";"1180073"
"2";"Nordeste";"Branca";"Total";"11330819";"5227890";"6102929";"9998395";"4535864";"5462531";"1332424";"692026";"640398"
"2";"Nordeste";"Branca";"15 a 19 anos";"1091161";"540592";"550569";"1067504";"524640";"542864";"23657";"15952";"7705"
"2";"Nordeste";"Branca";"20 a 24 anos";"1083916";"535943";"547973";"1058471";"519279";"539192";"25445";"16664";"8781"
